Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,5501906,BBVA,Banco Bilbao Vizcaya Argentaria SA,106821697,"$599,734,724.67 ",0.139770266,Diversified Banks,ES,---
,BP9DL90,ITX,Industria de Diseno Textil SA,16945897,"$598,879,236.74 ",0.139570892,Apparel Retail,ES,---
,4617859,DPW,Deutsche Post AG,15744352,"$598,668,769.60 ",0.139521842,Air Freight & Logistics,DE,---
,B037HR3,ITUB4,Itau Unibanco Holding SA Preference Shares,64563589,"$597,984,669.34 ",0.13936241,Diversified Banks,BR,---
,2170525,CM,Canadian Imperial Bank of Commerce,7170769,"$596,721,957.68 ",0.13906813,Diversified Banks,CA,---
,6513126,8766,Tokio Marine Holdings Inc.,10618406,"$594,512,131.48 ",0.138553123,Property & Casualty Insurance,JP,---
,6183552,9022,Central Japan Railway Co.,2911990,"$585,510,226 ",0.136455197,Railroads,JP,---
,6438564,2317,Hon Hai Precision Industry Co. Ltd.,192668745,"$584,463,549.10 ",0.136211266,Electronic Manufacturing Services,TW,---
,B1XZS82,AAL,Anglo American plc,20177553,"$579,663,392.60 ",0.135092572,Diversified Metals & Mining,GB,---
,6356934,6954,FANUC Corp.,3099685,"$572,403,077 ",0.133400531,Industrial Machinery,JP,---
,6441506,7741,Hoya Corp.,5937139,"$566,771,436.15 ",0.132088057,Health Care Supplies,JP,---
,6610403,6981,Murata Manufacturing Co. Ltd.,9191385,"$565,716,905.59 ",0.131842295,Electronic Components,JP,---
,B0FXT17,BIDU,Baidu Inc.,4472141,"$565,278,622.40 ",0.131740152,Interactive Media & Services,KY,ADR
,2793115,CP,Canadian Pacific Railway Ltd.,2215316,"$564,734,554.30 ",0.131613355,Railroads,CA,---
,5497168,VOW3,Volkswagen AG Preference Shares,2867536,"$564,443,560.40 ",0.131545538,Automobile Manufacturers,DE,---
,6175203,D05,DBS Group Holdings Ltd.,29114767,"$561,368,860.55 ",0.130828968,Diversified Banks,SG,---
,B00FM53,BBDC4,Banco Bradesco SA Preference Shares,60863790,"$550,039,363.37 ",0.128188589,Diversified Banks,BR,---
,B4T3BW6,GLEN,Glencore plc,174868782,"$544,496,026.52 ",0.126896695,Diversified Metals & Mining,JE,---
,7171589,CSGN,Credit Suisse Group AG,39930019,"$539,761,119.64 ",0.125793209,Diversified Capital Markets,CH,---
,B3MSM28,AMS,Amadeus IT Group SA,6549661,"$536,398,462.80 ",0.12500953,Data Processing & Outsourced Services,ES,---
,B58LLB7,AMADF,Amadeus IT Group SA,6549661,"$536,398,462.80 ",0.12500953,Data Processing & Outsourced Services,ES,---
,6948836,WES,Wesfarmers Ltd.,18285622,"$531,415,172.08 ",0.123848157,General Merchandise Stores,AU,---
,B154564,3988,Bank of China Ltd.,1235549199,"$528,170,598.46 ",0.123091997,Diversified Banks,CN,---
,884709,TSCO,Tesco plc,156013890,"$527,273,392.95 ",0.122882901,Food Retail,GB,---
,BYMXPS7,UCG,UniCredit SPA,36063261,"$527,137,993.86 ",0.122851345,Diversified Banks,IT,---
,6596785,8058,Mitsubishi Corp.,19836470,"$525,495,237.54 ",0.122468495,Trading Companies & Distributors,JP,---
,6298542,9020,East Japan Railway Co.,5820751,"$525,392,627.09 ",0.122444582,Railroads,JP,---
,6895675,8035,Tokyo Electron Ltd.,2399670,"$523,920,078.53 ",0.122101399,Semiconductor Equipment,JP,---
,6773812,5935,Samsung Electronics Co. Ltd. Preference Shares,13374734,"$523,645,628.94 ",0.122037438,"Technology Hardware, Storage & Periphera",KR,---
,6985383,4503,Astellas Pharma Inc.,30463333,"$520,008,713.29 ",0.121189842,Pharmaceuticals,JP,---
,B0SWJX3,LSE,London Stock Exchange Group plc,5055540,"$519,571,730.89 ",0.121088001,Financial Exchanges & Data,GB,---
,6129277,9437,NTT DOCOMO Inc.,18525607,"$516,051,863.60 ",0.120267684,Wireless Telecommunication Services,JP,---
,6981239,WOW,Woolworths Group Ltd.,20345899,"$516,045,831.26 ",0.120266278,Food Retail,AU,---
,6640682,6594,Nidec Corp.,3757737,"$513,246,030 ",0.119613775,Electrical Components & Equipment,JP,---
,5732524,TEF,Telefonica SA,73167824,"$511,672,553.57 ",0.119247071,Integrated Telecommunication Services,ES,---
,6467803,8001,ITOCHU Corp.,21901711,"$507,609,060.25 ",0.118300059,Trading Companies & Distributors,JP,---
,B545MG5,SREN,Swiss Re AG,4475210,"$502,756,405.81 ",0.117169131,Reinsurance,CH,---
,2684532,PETR4,Petroleo Brasileiro SA Preference Shares,66326260,"$500,964,917.95 ",0.116751619,Integrated Oil & Gas,BR,---
,B19NLV4,EXPN,Experian plc,14649077,"$496,599,314.45 ",0.1157342,Research & Consulting Services,JE,---
,BJDS7L3,PRX,Prosus NV,6618130,"$495,313,566.85 ",0.115434552,Internet & Direct Marketing Retail,NL,---
,B28YTC2,MQG,Macquarie Group Ltd.,5109439,"$494,823,094.49 ",0.115320246,Diversified Capital Markets,AU,---
,6641373,9432,Nippon Telegraph & Telephone Corp.,19546860,"$494,021,297.34 ",0.115133384,Integrated Telecommunication Services,JP,---
,6332439,9983,Fast Retailing Co. Ltd.,826922,"$491,253,088.78 ",0.114488243,Apparel Retail,JP,---
