,SEDOL,ticker,name,ESG
2168,6792334,SECB,Security Bank Corp.,Y
2169,B1VT035,BS6,Yangzijiang Shipbuilding Holdings Ltd.,Y
2170,6642967,9031,Nishi-Nippon Railroad Co. Ltd.,Y
2171,5298781,BB,Societe BIC SA,Y
2172,6680804,1893,Penta-Ocean Construction Co. Ltd.,N
2173,B2492F5,97950,CJ CheilJedang Corp.,Y
2174,B1YBF00,1813,KWG Group Holdings Ltd.,Y
2175,BYNK383,2799,China Huarong Asset Management Co. Ltd.,Y
2176,B8K7J65,SCP,Shopping Centres Australasia Property Group,Y
2177,6596848,9301,Mitsubishi Logistics Corp.,Y
2178,2516022,LNR,Linamar Corp.,N
2179,B1HVJ16,552,China Communications Services Corp. Ltd.,Y
2180,6079123,BAW,Barloworld Ltd.,Y
2181,B418WK4,WCP,Whitecap Resources Inc.,N
2182,B8SGSP6,GRUPOARGOS,Grupo Argos SA/Colombia,N
2183,6278306,5714,Dowa Holdings Co. Ltd.,Y
2184,B1VRCG6,3993,China Molybdenum Co. Ltd.,Y
2185,BTGWJY9,ACB,Aurora Cannabis Inc.,N
2186,BF06WX9,SOW,Software AG,Y
2187,B01NXQ4,CG,Centerra Gold Inc.,N
2188,B89YH96,US,UnipolSai Assicurazioni SPA,Y
2189,6805049,4170,Shinsegae Inc.,N
2190,6211851,9861,Yoshinoya Holdings Co. Ltd.,Y
2191,6569505,5463,Maruichi Steel Tube Ltd.,Y
2192,BTPJH25,APX,Appen Ltd.,Y
2193,2446646,IMG,IAMGOLD Corp.,Y
2194,B019KX8,CSNA3,Cia Siderurgica Nacional SA,Y
2195,4691916,LSG,Leroy Seafood Group ASA,Y
2196,B39GNW2,EDPR,EDP Renovaveis SA,Y
2197,B05L364,2432,DeNA Co. Ltd.,Y
2198,6702634,AUROPHARMA,Aurobindo Pharma Ltd.,Y
2199,BF0WB74,SAPR11,Cia de Saneamento do Parana,Y
2200,B4TDF13,CHT,Chunghwa Telecom Co. Ltd.,N
2201,B03PQZ8,EMMN,Emmi AG,Y
2202,6918981,6925,Ushio Inc.,Y
2203,BV8TBJ1,BERGEPAINT,Berger Paints India Ltd.,Y
2204,732358,RSW,Renishaw plc,Y
2205,BNH7Q17,NOFI,Norwegian Finans Holding ASA,Y
2206,BK1W1W3,RATCH-F,Ratchaburi Electricity Generating Holding PCL (Foreign),N
2207,BD3D170,3288,Open House Co. Ltd.,N
2208,2393452,GCARSOA1,Grupo Carso SAB de CV,Y
